"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"c:\Computer Science Stuff\Compiler\Monkey_java\README.md", "Markdown", 0, 16, 0, 8, 24
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CodeTest.java", "Java", 67, 0, 0, 12, 79
"c:\Computer Science Stuff\Compiler\Monkey_java\src\CompilerTest.java", "Java", 872, 0, 34, 56, 962
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Bytecode.java", "Java", 26, 0, 0, 11, 37
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\CompilationScope.java", "Java", 17, 0, 0, 6, 23
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\Compiler.java", "Java", 291, 0, 3, 43, 337
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\CompilerError.java", "Java", 6, 0, 0, 3, 9
"c:\Computer Science Stuff\Compiler\Monkey_java\src\Compiler\EmittedInstruction.java", "Java", 12, 0, 0, 6, 18
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\ArrayObj.java", "Java", 35, 0, 0, 14, 49
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BooleanObj.java", "Java", 25, 0, 0, 11, 36
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtin.java", "Java", 24, 0, 0, 10, 34
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\BuiltinFunction.java", "Java", 5, 0, 0, 3, 8
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Builtins.java", "Java", 95, 0, 0, 8, 103
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\CompiledFunction.java", "Java", 31, 0, 0, 11, 42
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\Environment.java", "Java", 35, 0, 0, 14, 49
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\ErrorObj.java", "Java", 18, 0, 0, 8, 26
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\EvalObject.java", "Java", 5, 0, 0, 4, 9
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\FunctionObj.java", "Java", 44, 0, 0, 14, 58
"c:\Computer Science Stuff\Compiler\Monkey_java\src\EvalObject\HashKey.java", "Java", 28, 0, 0, 6, 34
